,all,our,over,remove,internet,order,receive,addresses,free,business,email,credit,000,hp,hpl,!,$,longest,total,address,telnet,technology,original,edu,average,font,cs,project,table,[,#,spam
11,0.25,0.38,0.25,0.25,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.0,11,184,0.0,0.0,0.0,0.0,0.0,1.243,0.0,0.0,0.0,0.0,0.0,0.0,1
12,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.39,0.0,0.0,0.0,0.0,0.786,0.0,61,261,0.69,0.0,0.0,0.0,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,1
13,0.0,0.9,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,25,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1.42,0.71,0.35,0.0,0.35,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.35,0.0,0.0,0.357,0.0,24,205,0.0,0.0,0.0,0.0,0.0,1.971,0.0,0.0,0.0,0.0,0.0,0.0,1
15,0.42,1.27,0.0,0.42,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.42,0.0,0.0,0.0,0.572,0.063,55,249,0.42,0.0,0.0,0.0,0.0,5.659,0.0,0.0,0.0,0.0,0.0,0.0,1
16,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.0,31,107,0.0,0.0,0.0,0.0,0.0,4.652,0.0,0.0,0.0,0.0,0.0,0.0,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.975,0.37,95,461,0.0,0.0,0.0,0.0,0.0,35.461,0.0,0.0,0.0,0.0,0.0,0.0,1
18,0.55,1.11,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.455,0.0,4,70,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,1
19,0.0,1.59,0.31,0.0,0.0,0.31,0.0,1.27,0.63,0.31,3.18,0.0,0.31,0.0,0.0,0.055,0.496,91,186,0.63,0.0,0.0,0.0,0.0,3.509,0.0,0.0,0.0,0.0,0.0,0.0,1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729,0.0,9,23,0.0,0.0,0.0,0.0,0.0,3.833,0.0,0.0,0.0,0.0,0.0,0.0,1
21,0.1,0.76,0.05,0.15,0.02,0.55,0.1,0.0,0.0,0.02,0.13,0.1,0.05,0.0,0.0,0.25,0.046,66,2259,0.07,0.0,0.02,0.0,0.0,2.569,0.0,0.0,0.0,0.0,0.016,0.059,1
22,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.809,0.0,12,34,0.0,0.0,0.0,0.0,0.0,4.857,0.0,0.0,0.0,0.0,0.0,0.0,1
23,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,1.16,0.0,0.0,0.0,0.0,0.667,0.0,5,69,0.0,0.0,0.0,0.0,0.0,1.131,0.0,0.0,0.0,0.0,0.0,0.0,1
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.196,22,82,0.0,0.0,0.0,0.0,0.0,5.466,0.0,0.0,0.0,0.0,0.0,0.0,1
25,0.1,0.76,0.05,0.15,0.02,0.55,0.1,0.0,0.0,0.02,0.13,0.1,0.05,0.0,0.0,0.25,0.046,66,2258,0.07,0.0,0.02,0.0,0.0,2.565,0.0,0.0,0.0,0.0,0.016,0.059,1
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.196,22,82,0.0,0.0,0.0,0.0,0.0,5.466,0.0,0.0,0.0,0.0,0.0,0.0,1
27,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.0,12,47,0.0,0.0,0.0,0.0,0.0,2.611,0.0,0.0,0.0,0.0,0.0,0.0,1
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.0,11,36,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,0.0,0.65,0.0,0.65,0.0,0.0,0.65,0.0,0.65,1.3,0.0,5.22,0.0,0.0,0.0,0.091,0.0,66,129,0.0,0.0,0.0,0.0,0.0,2.687,0.0,0.0,0.0,0.0,0.0,0.0,1
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.886,0.0,10,59,0.0,0.0,0.0,0.0,0.0,1.966,0.0,0.0,0.0,0.0,0.0,0.0,1
31,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,2.112,0.0,11,43,0.0,0.0,0.0,0.0,0.0,3.909,0.0,0.0,0.0,0.0,0.0,0.0,1
32,0.0,1.89,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,11,89,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,1
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.302,5,17,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1
34,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,30,264,0.68,1.36,0.0,0.0,0.0,3.826,0.0,0.0,0.0,0.0,0.185,0.0,1
35,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.543,0.0,6,25,0.0,0.0,0.0,0.0,0.0,2.777,0.0,0.0,0.0,0.0,0.0,0.0,1
36,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.873,0.0,12,29,0.0,0.0,0.0,0.0,0.0,4.142,0.0,0.0,0.0,0.0,0.0,0.0,1
37,0.48,1.46,0.0,0.48,0.0,0.0,0.0,0.0,0.48,0.97,0.0,0.0,0.48,0.0,0.0,0.488,0.244,78,239,0.0,0.0,0.0,0.0,0.0,5.431,0.0,0.0,0.0,0.0,0.0,0.0,1
38,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.97,0.0,0.0,0.0,0.0,0.963,0.0,61,186,0.48,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1
39,1.66,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.83,0.0,0.0,0.0,0.0,0.75,0.0,121,285,0.41,0.0,0.0,0.0,0.0,3.851,0.0,0.0,0.0,0.0,0.0,0.0,1
40,0.0,0.61,0.92,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.207,0.207,30,226,0.0,0.0,0.0,0.0,0.0,2.132,0.0,0.0,0.0,0.0,0.0,0.0,1
41,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,12,28,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.0,12,28,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43,0.55,1.11,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.426,0.0,4,68,0.0,0.0,0.0,0.0,0.0,1.283,0.0,0.0,0.0,0.0,0.0,0.0,1
44,0.0,0.52,0.0,0.26,0.52,0.0,0.26,0.0,0.26,1.56,0.26,2.08,0.0,0.0,0.0,0.813,0.036,38,339,0.0,0.0,0.0,0.0,0.0,2.145,0.0,0.0,0.0,0.0,0.0,0.147,1
45,1.05,0.45,0.0,0.0,1.81,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318,0.068,130,774,0.45,0.0,0.0,0.0,0.0,5.301,0.0,0.0,0.0,0.0,0.0,0.0,1
46,0.18,1.57,0.36,0.06,0.06,0.06,0.06,0.0,0.0,0.72,0.06,0.24,0.84,0.0,0.0,0.01,0.167,12,442,0.0,0.0,0.0,0.06,0.0,1.733,0.0,0.0,0.0,0.0,0.0,0.0,1
47,0.99,0.0,0.99,0.0,0.0,0.0,0.99,0.0,4.97,0.99,0.0,0.0,0.49,0.0,0.0,0.17,0.0,8,94,0.0,0.0,0.0,0.0,0.0,1.468,0.0,0.0,0.0,0.0,0.0,0.0,1
48,0.46,0.05,0.12,0.05,0.28,0.43,0.25,0.0,0.25,0.43,0.02,0.0,1.05,0.0,0.0,0.325,0.756,193,3040,0.3,0.0,0.0,0.0,0.0,5.891,0.0,0.0,0.0,0.0,0.0,0.153,1
49,0.26,0.0,0.33,0.06,0.33,0.0,0.39,0.26,0.26,0.0,0.26,0.0,0.19,0.0,0.0,0.278,0.23,40,898,0.46,0.0,0.0,0.0,0.0,3.887,0.0,0.0,0.0,0.0,0.0,0.084,1
50,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,33,1.92,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1
51,1.09,0.0,0.73,0.73,1.09,0.36,0.0,0.0,1.09,0.36,0.36,2.19,1.83,0.0,0.0,0.498,0.332,30,179,0.36,0.0,0.0,0.0,0.0,3.254,0.0,0.0,0.0,0.0,0.0,0.0,1
52,0.77,0.19,0.32,0.38,0.0,0.06,0.0,0.12,0.0,0.0,0.12,0.06,0.19,0.0,0.0,0.244,0.071,43,750,0.12,0.0,0.0,0.0,0.0,1.732,0.0,0.0,0.06,0.0,0.0,0.0,1
53,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.596,17,69,1.26,0.0,0.0,0.0,0.0,3.833,0.0,0.0,0.0,0.0,0.0,0.0,1
54,0.73,0.0,0.73,0.73,1.1,0.36,0.0,0.0,1.1,0.36,0.36,2.2,1.83,0.0,0.0,0.5,0.333,30,176,0.36,0.0,0.0,0.0,0.0,3.259,0.0,0.0,0.0,0.0,0.0,0.0,1
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,1.478,0.0,30,106,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
56,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.615,0.061,59,146,0.0,0.0,0.0,0.0,0.0,3.318,0.0,0.0,0.0,0.0,0.0,0.061,1
57,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,51,0.0,0.0,0.0,0.0,0.0,3.642,0.0,0.0,0.0,0.0,0.0,0.0,1
58,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.91,0.0,0.0,0.0,0.0,1.501,0.0,61,200,0.45,0.0,0.0,0.0,0.0,2.777,0.0,0.0,0.0,0.0,0.0,0.0,1
59,1.68,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.84,0.0,0.0,0.0,0.0,0.669,0.0,121,284,0.42,0.0,0.0,0.0,0.0,3.837,0.0,0.0,0.0,0.0,0.0,0.0,1
60,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,66,249,0.59,0.0,0.0,0.0,0.0,8.586,0.0,0.0,0.0,0.0,0.0,0.0,1
61,0.47,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.175,0.0,11,66,0.0,0.0,0.0,0.0,0.0,1.294,0.0,0.0,0.0,0.0,0.0,0.0,1
62,0.46,1.39,0.0,0.93,0.93,0.0,0.46,0.0,1.39,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,8,75,0.0,0.0,0.0,0.0,0.0,1.442,0.0,0.0,0.0,0.0,0.0,0.069,1
63,0.0,0.68,0.0,0.68,0.0,0.0,0.34,0.0,0.34,0.0,1.36,0.0,0.0,0.34,0.34,0.048,0.048,15,96,0.34,0.0,0.0,0.0,0.0,1.411,0.0,0.0,0.0,0.0,0.0,0.0,1
64,0.12,1.32,0.36,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.019,0.019,34,180,0.24,0.0,0.0,0.0,0.0,1.714,0.0,0.0,0.0,0.0,0.0,0.0,1
65,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.32,0.0,0.0,0.0,0.0,0.0,2.205,0.0,34,121,0.0,0.0,0.0,0.0,0.0,3.184,0.0,0.0,0.0,0.0,0.0,0.0,1
66,0.48,1.46,0.0,0.48,0.0,0.0,0.48,0.0,0.48,0.0,0.0,0.48,0.0,0.0,0.0,0.589,0.294,47,194,0.48,0.0,0.0,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,1
67,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,17,0.0,0.0,0.0,0.0,0.0,1.214,0.0,0.0,0.0,0.0,0.0,0.0,1
68,0.61,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.15,0.61,0.0,0.0,0.0,0.0,0.0,1.053,0.351,66,303,0.0,0.0,0.0,0.0,0.0,3.884,0.0,0.0,0.0,0.0,0.0,0.25,1
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.1,59,141,0.0,0.0,0.0,0.0,0.0,4.548,0.0,0.0,0.0,0.0,0.0,0.0,1
70,0.0,1.26,0.0,2.53,1.26,1.26,1.26,0.0,0.0,5.06,0.0,1.26,0.0,0.0,0.0,0.537,0.0,287,290,0.0,0.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,1
71,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,1.06,0.0,0.0,0.0,0.0,0.877,0.0,61,187,0.53,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1
72,0.89,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.89,0.0,0.0,0.0,0.0,0.807,0.0,121,281,0.44,0.0,0.0,0.0,0.0,3.849,0.0,0.0,0.0,0.0,0.0,0.0,1
73,0.46,0.46,0.46,0.46,0.0,0.0,0.46,0.0,0.92,0.0,0.92,0.0,0.46,0.0,0.0,0.298,0.223,13,110,0.46,0.0,0.0,0.0,0.0,2.156,0.0,0.0,0.0,0.0,0.0,0.0,1
74,0.48,1.44,0.0,0.48,0.0,0.0,0.0,0.0,0.48,0.96,0.0,0.0,0.48,0.0,0.0,0.486,0.243,78,236,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,1
75,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,1.88,0.0,0.0,1.366,0.0,245,318,0.94,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1
76,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.165,0.082,16,100,0.0,0.0,0.0,0.0,0.0,2.325,0.0,0.0,0.0,0.0,0.0,0.0,1
77,0.37,0.18,0.12,0.0,0.25,0.75,0.25,0.0,0.37,0.44,0.12,0.69,0.44,0.0,0.0,0.437,0.234,45,1066,0.18,0.0,0.0,0.06,0.0,3.675,0.0,0.0,0.0,0.0,0.053,0.064,1
78,0.2,1.67,0.2,0.2,0.0,0.0,0.2,0.0,0.83,0.2,0.0,0.0,0.62,0.0,0.0,0.132,0.0,15,175,0.41,0.0,0.0,0.0,0.62,1.65,0.0,0.0,0.0,0.0,0.0,0.0,1
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.338,5,10,0.0,0.0,0.0,0.0,0.0,1.666,0.0,0.0,0.0,0.0,0.0,0.0,1
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.431,0.0,29,114,0.0,0.0,0.0,0.0,0.0,4.071,0.0,0.0,0.0,0.0,0.0,0.0,1
81,0.23,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.23,0.95,0.0,0.0,0.0,0.0,0.0,0.197,0.0,280,519,0.0,0.0,0.23,0.0,0.0,5.038,0.0,0.0,0.0,0.0,0.0,0.024,1
82,0.72,0.0,0.0,0.0,1.45,0.0,0.72,0.0,2.91,0.0,0.72,0.0,0.72,0.0,0.0,0.495,0.0,8,61,0.72,0.0,0.0,0.0,0.0,1.525,0.0,0.0,0.0,0.0,0.0,0.0,1
83,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,1.28,0.0,0.0,0.724,0.0,9,43,0.0,0.0,0.0,0.0,0.0,3.071,0.0,0.0,0.0,0.0,0.0,0.0,1
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,0.0,27,118,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,1
85,0.46,1.4,0.0,0.46,1.86,0.0,0.46,0.0,1.86,0.0,0.0,0.46,0.0,0.0,0.0,0.571,0.214,64,213,0.46,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,1
86,0.38,1.15,0.76,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.061,0.061,20,158,0.0,0.0,0.0,0.0,0.0,1.775,0.0,0.0,0.0,0.0,0.0,0.0,1
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.58,1.58,0.0,0.0,0.0,0.0,0.268,0.0,26,107,0.79,0.0,0.0,0.0,0.0,2.815,0.0,0.0,0.0,0.0,0.0,0.0,1
88,0.47,0.4,0.0,0.0,0.0,0.67,0.0,0.0,0.2,0.0,0.0,0.13,0.0,0.0,0.0,0.096,0.085,144,845,0.06,0.0,0.0,0.0,0.0,3.353,0.0,0.0,0.0,0.0,0.0,0.01,1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,38,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1
90,1.12,2.24,0.0,1.12,0.0,0.0,0.0,0.0,0.56,2.8,0.0,0.0,0.0,0.0,0.0,1.083,0.333,140,194,0.56,0.0,0.0,0.0,0.0,4.974,0.0,0.0,0.0,0.0,0.0,0.0,1
91,0.47,0.05,0.13,0.05,0.26,0.44,0.26,0.0,0.26,0.44,0.0,0.0,1.05,0.0,0.0,0.322,0.764,193,3038,0.31,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.159,1
92,0.29,0.14,0.03,0.03,0.14,0.56,0.29,0.03,0.22,0.44,0.07,0.0,0.59,0.0,0.0,0.613,0.532,763,2453,0.44,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.137,1
93,0.29,0.14,0.03,0.03,0.14,0.56,0.29,0.03,0.22,0.44,0.07,0.0,0.59,0.0,0.0,0.612,0.531,763,2453,0.44,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.137,1
94,0.46,0.0,0.0,0.0,0.46,0.0,0.0,2.31,0.0,0.46,0.46,0.0,1.38,0.0,0.0,0.082,0.823,12,102,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1
95,0.46,0.0,0.0,0.46,0.0,0.0,0.46,0.0,0.0,0.0,1.4,0.0,0.46,0.0,0.0,0.0,0.0,32,91,0.0,0.0,0.0,0.0,0.0,2.676,0.93,0.0,0.0,0.0,0.0,0.0,1
96,0.7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.7,0.0,0.0,0.0,0.0,1.284,0.0,61,313,0.35,0.0,0.0,0.0,0.0,3.639,0.0,0.0,0.0,0.0,0.0,0.0,1
97,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.86,0.0,0.0,0.0,0.0,0.736,0.0,61,222,0.43,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,1
98,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.31,0.0,17,191,0.0,0.0,0.0,0.0,0.0,4.897,0.0,0.0,0.0,0.0,0.414,0.0,1
99,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.82,0.0,0.0,0.0,0.0,0.461,0.527,19,114,0.41,0.0,0.0,0.0,0.0,3.166,0.0,0.0,0.0,0.0,0.0,0.0,1
100,0.0,4.25,0.0,0.7,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,3,30,0.0,0.0,0.0,0.0,0.0,1.153,0.0,0.0,0.0,0.0,0.0,0.0,1
101,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.64,0.0,0.0,0.662,0.0,131,292,0.0,0.0,0.0,0.0,0.0,10.068,0.0,0.0,0.0,0.0,0.284,0.0,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.529,0.0,22,66,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1
103,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.64,0.0,0.0,0.662,0.0,131,292,0.0,0.0,0.0,0.0,0.0,10.068,0.0,0.0,0.0,0.0,0.284,0.0,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.529,0.0,22,66,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1
105,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.64,0.0,0.0,0.662,0.0,131,292,0.0,0.0,0.0,0.0,0.0,10.068,0.0,0.0,0.0,0.0,0.284,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.529,0.0,22,66,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1
107,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.79,0.0,0.0,0.462,0.0,22,168,0.0,0.0,0.0,0.0,0.0,5.793,0.0,0.0,0.0,0.0,0.347,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.529,0.0,22,66,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1
109,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,74,0.0,0.0,0.0,0.0,0.0,6.166,0.0,0.0,0.0,0.0,0.0,0.0,1
110,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,1.907,0.0,7,36,0.0,0.0,0.0,0.0,0.0,1.285,0.0,0.0,0.0,0.0,0.0,0.0,1
